,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,salary
13889,42,2,136177,1,10,0,0,4,4,0,38,38,0
9400,49,4,105614,0,9,0,11,1,4,1,50,38,0
18532,21,2,232591,0,9,4,0,3,4,1,40,38,0
16109,29,2,133696,2,13,4,9,1,4,1,45,38,0
15557,56,2,111218,0,9,2,13,0,4,1,60,38,0
8322,37,2,248445,0,9,0,5,2,4,1,40,7,0
19781,27,2,208249,0,9,2,5,0,4,1,62,38,0
28135,41,1,134524,4,11,0,2,4,4,0,45,38,0
5288,54,2,88278,12,16,2,9,0,4,1,50,38,1
29872,32,4,116508,1,10,2,4,0,4,1,50,38,0
12336,49,0,203505,0,9,6,0,1,4,0,40,38,0
21956,31,2,37546,2,13,4,9,1,4,0,40,38,0
10465,58,5,69579,1,10,6,9,1,4,0,20,38,0
18226,52,2,343440,1,10,2,9,0,4,1,40,38,0
11269,60,2,178050,0,9,0,7,4,2,0,38,38,0
28382,46,3,112320,2,13,0,3,1,4,0,50,38,0
23828,34,2,329587,7,6,5,7,1,4,0,35,38,0
28969,22,2,344176,0,9,4,11,4,4,1,20,38,0
5942,47,2,179313,7,6,0,11,4,4,0,30,38,0
29826,41,3,64506,0,9,2,4,0,4,1,50,38,0
17592,46,2,206889,2,13,6,0,1,4,0,25,38,0
9813,50,2,168539,0,9,2,2,0,4,1,40,38,0
12655,34,2,124569,1,10,0,0,1,4,0,40,38,0
3496,32,0,111567,9,15,2,9,0,4,1,40,38,1
4383,40,4,49156,1,10,2,9,0,4,1,20,38,0
23946,30,2,324120,0,9,2,5,0,4,1,50,38,0
15368,47,2,188081,0,9,2,6,0,4,1,40,38,0
22262,24,2,149342,2,13,4,11,1,4,0,40,38,0
3815,37,2,195148,0,9,2,2,3,4,1,40,38,0
26032,28,2,214702,2,13,2,3,0,4,1,60,38,1
10316,37,2,117381,0,9,2,12,0,4,1,80,38,0
12705,36,1,116892,1,10,2,2,0,4,1,40,38,0
13410,61,0,60641,1,10,2,0,5,4,0,30,38,0
5491,44,1,236321,0,9,0,13,3,4,1,25,38,0
1870,32,2,211699,6,12,2,3,5,4,0,40,38,0
26845,34,2,398988,2,13,4,11,1,4,1,40,38,0
17744,45,2,131826,1,10,2,5,0,4,1,40,38,0
19205,20,2,211293,1,10,4,11,3,2,0,14,38,0
20254,35,2,263081,0,9,2,2,0,2,1,60,38,0
17111,42,2,367533,7,6,2,2,3,3,1,43,38,0
10350,73,2,139978,5,7,2,6,0,4,1,40,38,0
20087,48,2,268234,0,9,0,2,1,4,1,50,38,0
19625,24,1,187397,1,10,4,10,4,3,1,40,38,0
27199,28,2,174327,0,9,2,6,0,4,1,50,38,0
29644,22,2,203894,1,10,4,11,3,4,0,15,38,0
27765,43,2,69333,0,9,2,6,0,4,1,48,38,0
1252,31,0,168312,4,11,4,3,1,4,0,40,38,0
25576,36,2,254202,0,9,0,3,4,4,0,50,38,0
6472,28,1,211920,0,9,2,10,0,4,1,40,38,0
24018,24,2,278130,4,11,4,6,1,4,1,40,38,0
26364,61,0,221943,1,10,2,0,0,4,1,40,38,0
22441,37,5,252939,4,11,4,9,4,2,0,40,38,0
19520,31,2,364657,1,10,2,3,0,4,1,50,10,0
27415,21,2,276709,1,10,4,11,2,4,0,40,38,0
8355,27,2,132686,11,8,4,6,3,4,1,50,38,0
15805,23,2,212619,0,9,2,6,0,4,1,50,38,0
7920,29,4,151476,4,11,4,0,1,4,0,40,38,0
12158,49,2,218357,4,11,0,9,1,4,0,38,38,0
18028,44,2,176063,0,9,2,13,0,4,1,50,38,0
17615,21,2,267040,7,6,4,9,4,2,0,40,38,0
15453,23,2,386705,1,10,4,0,3,4,1,24,38,0
20086,25,2,324609,0,9,4,0,1,2,1,40,38,0
6092,43,2,183096,1,10,5,11,4,4,0,10,38,0
19658,42,5,345969,2,13,2,3,0,4,1,48,38,1
29411,46,2,186410,9,15,4,3,1,4,1,50,38,0
14323,22,2,141040,0,9,4,11,3,2,0,35,38,0
4601,42,2,108506,0,9,2,13,0,0,1,60,38,0
25592,23,2,117363,2,13,4,0,3,4,0,40,38,0
24938,30,2,26009,0,9,2,9,0,4,1,35,38,0
19455,38,1,167440,0,9,2,13,0,4,1,20,38,0
13948,21,2,243368,15,1,4,4,1,4,1,50,25,0
24291,46,2,216164,0,9,2,5,0,4,1,40,38,0
22023,36,1,255454,2,13,4,10,1,2,1,40,38,0
24637,17,2,52486,5,7,4,7,3,4,0,12,38,0
7551,23,2,227915,0,9,4,2,4,4,0,33,38,0
11413,42,2,155469,6,12,6,12,4,4,0,24,38,0
9094,55,2,223613,14,2,0,8,4,4,0,30,4,0
18967,25,2,109080,1,10,4,2,3,4,1,55,38,0
25417,23,2,141272,2,13,4,7,3,2,0,30,38,0
27028,42,1,1125613,0,9,0,7,1,2,1,40,38,0
9078,35,1,162651,2,13,0,9,1,4,1,40,32,0
2025,55,2,227158,2,13,6,0,4,4,0,40,38,0
4856,35,4,319831,1,10,2,4,0,4,1,60,38,0
29757,55,2,165881,0,9,2,3,0,4,1,40,38,0
8001,43,0,94937,2,13,0,0,4,4,0,40,38,0
25334,26,4,118523,0,9,2,0,0,4,1,40,38,0
3995,40,0,26358,6,12,4,0,1,4,0,40,38,0
11016,45,5,81853,1,10,2,0,5,1,0,40,38,0
15906,57,3,180211,9,15,2,9,0,1,1,50,35,1
16283,22,2,231912,4,11,4,0,3,4,0,37,38,0
13845,36,2,184112,9,15,2,9,5,4,0,45,38,0
13700,42,2,196029,2,13,2,13,0,4,1,48,38,1
26095,31,2,594187,0,9,2,6,0,4,1,40,38,0
4463,25,1,179059,2,13,4,9,3,4,1,40,38,0
28173,61,2,103575,0,9,2,2,0,4,1,37,38,0
12959,29,2,190539,2,13,4,3,1,4,1,50,38,0
7243,24,2,283806,1,10,4,7,1,4,0,40,38,0
11429,64,2,187601,1,10,6,0,1,4,0,40,38,0
25415,63,2,208862,0,9,4,2,1,4,1,40,38,0
15569,26,2,343506,0,9,4,7,3,2,0,40,38,0
3244,21,2,300812,1,10,4,7,3,4,1,25,38,0
3942,21,2,434710,1,10,4,11,1,4,0,15,38,0
22894,22,2,82393,10,5,4,5,3,1,1,40,29,0
21148,29,2,133937,2,13,2,9,0,4,1,40,38,1
3499,25,2,197871,1,10,2,11,0,4,1,44,38,0
17024,32,1,161478,2,13,0,0,4,1,0,46,38,0
5681,50,2,178530,9,15,2,9,0,4,1,60,38,1
4318,22,2,24008,0,9,4,0,1,4,1,40,38,0
2171,34,2,158420,2,13,2,3,0,4,1,70,38,1
17101,70,2,206232,7,6,2,6,0,4,1,50,38,0
29599,57,2,317969,0,9,2,3,0,4,1,50,38,0
934,50,2,767403,0,9,2,6,0,4,1,40,38,0
13725,55,2,436861,3,14,0,9,1,4,0,40,38,0
1188,46,2,279661,3,14,2,9,0,2,1,35,38,1
9760,46,2,102308,0,9,2,5,0,4,1,56,38,0
8150,47,4,172034,0,9,2,11,0,4,1,75,38,0
20587,46,2,160474,0,9,0,0,4,4,0,43,38,0
9333,50,2,211654,7,6,2,2,0,4,1,40,38,0
6823,49,2,84013,0,9,0,7,4,4,0,35,38,0
29699,44,2,188436,2,13,2,0,0,4,1,45,38,1
1854,31,2,264936,1,10,4,7,1,4,0,40,38,0
23664,20,2,194247,0,9,4,3,1,4,1,25,38,0
4977,46,2,328669,4,11,2,2,0,4,1,42,38,0
22074,36,2,146625,5,7,6,7,4,2,0,12,38,0
28849,41,2,36699,1,10,0,3,1,4,1,40,38,0
3860,36,2,63509,6,12,2,9,0,4,1,48,38,0
12268,41,2,29591,0,9,0,11,1,4,1,30,38,0
24284,22,2,37894,0,9,5,7,2,4,1,35,38,0
10721,46,2,358533,1,10,2,10,0,2,1,40,38,0
7985,21,2,73679,1,10,4,3,3,4,0,40,38,0
3954,48,2,177775,0,9,0,3,1,4,0,40,38,0
7254,31,2,220690,1,10,0,2,1,4,1,80,38,0
12673,40,2,207025,0,9,4,0,1,4,0,38,38,0
19734,24,2,192201,1,10,4,3,1,2,0,20,38,0
18052,36,2,410489,2,13,0,9,1,4,1,45,38,0
8235,24,2,146706,1,10,4,7,1,4,0,30,38,0
1872,34,2,229732,4,11,2,2,0,4,1,40,38,0
21663,24,2,291979,0,9,4,4,1,4,1,40,38,0
8538,38,2,179117,6,12,4,6,1,2,0,50,38,0
9594,46,1,344172,6,12,2,10,0,4,1,49,38,0
15050,33,2,184306,0,9,0,5,4,4,1,30,38,0
15968,59,2,144092,0,9,2,2,0,4,1,40,38,0
4016,35,2,340110,2,13,2,3,0,4,1,70,38,1
2157,23,4,519627,0,9,4,4,1,4,1,25,25,0
6839,46,2,219021,0,9,2,13,0,4,1,44,38,0
29229,47,4,229394,5,7,0,3,4,4,0,55,38,0
6522,50,2,44368,1,10,2,3,0,4,1,40,38,0
3535,28,2,282398,1,10,5,12,4,4,1,40,38,0
20025,55,2,129762,0,9,0,0,4,4,0,40,38,0
19383,23,1,177265,0,9,4,7,3,4,0,45,38,0
5442,39,2,25803,1,10,2,11,0,4,1,55,38,0
11022,19,2,71650,0,9,4,4,3,4,1,40,38,0
8585,48,2,185041,8,4,2,13,0,4,1,55,38,0
19168,43,2,338290,1,10,2,9,0,4,1,40,38,0
6193,31,2,291052,1,10,2,0,0,4,1,40,38,0
26234,41,2,131591,0,9,2,0,0,2,1,45,38,0
10595,69,2,108196,10,5,4,2,2,4,1,40,38,0
24832,69,3,107850,3,14,2,3,0,4,1,40,38,1
2257,24,4,174391,0,9,2,0,5,4,0,40,38,0
8049,62,2,135480,0,9,2,11,0,4,1,16,38,0
3030,47,2,664821,2,13,2,7,0,4,1,40,7,1
9979,61,0,178312,1,10,2,9,0,4,1,40,38,0
10971,40,2,280362,0,9,2,13,0,4,1,35,38,0
6151,34,2,115488,0,9,2,11,0,4,1,40,38,0
3975,34,3,186824,9,15,2,9,0,4,1,40,38,1
27895,34,2,283921,0,9,2,13,0,4,1,50,38,0
18383,24,4,166036,1,10,2,13,0,4,1,60,38,0
25498,26,2,222248,0,9,4,2,1,4,1,70,38,0
26561,46,2,465974,5,7,4,13,3,4,1,30,38,0
13838,58,2,104945,10,5,2,5,0,2,1,60,38,0
28595,26,2,134945,0,9,4,6,2,4,1,40,38,0
9693,31,2,356689,2,13,4,4,1,4,1,40,38,0
29107,47,2,177087,1,10,5,0,4,4,0,50,38,0
26352,46,2,116635,2,13,5,9,4,2,0,36,38,0
8994,35,2,117381,2,13,4,3,1,4,1,45,38,0
20352,62,2,194167,0,9,0,6,1,4,0,40,38,0
16932,35,2,143152,1,10,2,0,5,4,0,27,38,0
8794,25,2,193820,3,14,4,9,3,4,0,40,38,0
21946,56,2,204049,1,10,2,11,0,4,1,50,38,0
7987,36,1,357720,4,11,4,9,1,4,0,40,38,0
22305,30,2,345705,1,10,2,3,2,4,1,40,38,0
28762,36,2,139703,0,9,4,0,1,2,0,40,38,0
11060,38,4,129573,3,14,4,9,1,4,1,40,38,0
1416,22,2,214731,7,6,2,6,5,4,0,40,38,0
9615,19,2,560804,1,10,4,0,3,4,0,30,38,0
9831,20,2,94057,1,10,4,7,3,4,1,15,38,0
17338,46,0,349230,4,11,2,12,0,4,1,40,38,0
21276,35,2,98389,5,7,2,4,0,4,1,40,38,0
19079,33,1,256529,0,9,5,7,3,4,0,80,38,0
18234,69,2,269499,0,9,6,5,1,4,0,8,38,0
24253,59,3,141326,4,11,0,9,1,4,1,50,38,0
747,17,2,32607,7,6,4,4,3,4,1,20,38,0
3902,46,2,185041,0,9,2,2,0,4,1,75,38,0
12840,40,2,170730,0,9,2,2,0,4,1,50,38,0
4675,39,3,114844,9,15,2,9,0,4,1,65,38,1
2356,19,2,129059,1,10,4,11,3,2,1,30,38,0
7042,37,2,203828,10,5,2,2,0,4,1,40,38,0
29204,27,2,147340,0,9,4,7,1,4,0,50,38,0
5699,37,4,415847,2,13,2,9,0,4,1,40,38,1
5337,35,2,241126,3,14,2,11,0,4,1,40,38,1
65,31,2,309974,2,13,5,11,3,2,0,40,38,0
9243,39,2,301568,1,10,0,11,4,4,0,40,38,0
11041,25,2,335005,1,10,2,10,0,4,1,40,38,0
14593,27,2,191628,0,9,4,13,1,2,1,40,38,0
13571,42,4,101593,2,13,2,3,0,4,1,60,38,1
24812,24,2,653574,0,9,4,2,3,4,1,40,7,0
12883,22,2,446140,0,9,4,11,3,4,1,55,38,0
13719,36,4,186035,9,15,2,11,0,4,1,30,38,1
9622,39,2,286789,2,13,2,3,0,4,1,40,38,1
24750,50,2,134766,2,13,2,3,0,4,1,50,38,1
25106,37,2,138192,0,9,2,2,0,4,1,45,38,0
16812,26,2,168403,0,9,2,5,0,4,1,40,38,0
7588,57,2,210688,0,9,2,9,0,4,1,15,38,0
21315,38,2,204501,2,13,2,3,0,4,1,55,38,1
19766,42,2,185267,4,11,2,0,0,4,1,32,38,0
19097,31,2,172304,1,10,2,2,0,4,1,50,38,0
30147,37,2,198216,6,12,0,12,1,4,0,40,38,0
20277,42,2,143342,1,10,0,6,1,4,0,40,38,0
18290,58,0,244830,2,13,5,9,1,4,1,40,38,0
8133,49,1,173584,2,13,4,9,1,4,0,50,38,0
4688,31,2,363130,0,9,4,7,4,2,1,18,38,0
5842,37,2,86310,1,10,0,0,4,4,0,45,38,0
25313,40,2,215596,2,13,3,7,1,3,1,40,25,0
532,58,1,283635,2,13,4,9,1,4,0,40,38,0
15063,36,4,408427,9,15,2,9,0,4,1,60,38,1
11964,51,2,115025,0,9,2,2,0,4,1,40,38,0
2804,35,2,237943,0,9,2,5,0,4,1,60,38,0
18773,33,2,197424,0,9,2,3,0,4,1,40,38,0
7271,28,2,138054,6,12,4,7,1,3,1,40,38,0
4500,35,2,360799,0,9,2,2,0,4,1,40,38,0
5953,53,5,116367,1,10,0,0,2,4,0,40,38,0
9208,47,2,332727,2,13,2,9,0,4,1,60,38,1
26835,31,2,242984,1,10,5,5,1,4,1,40,38,0
27634,47,1,191389,0,9,0,0,4,4,0,35,38,0
18731,25,2,182227,0,9,2,2,0,4,1,40,38,0
17568,58,4,310014,2,13,2,4,0,4,1,25,38,1
17884,42,2,373469,0,9,2,2,0,4,1,40,38,0
7415,46,3,182655,4,11,2,3,0,4,1,60,38,0
21881,44,2,98211,2,13,2,3,0,4,1,40,38,1
25476,58,2,215190,5,7,2,7,0,4,1,20,38,0
5072,42,5,117583,12,16,0,9,1,4,0,60,38,0
19898,29,2,157612,2,13,4,9,1,4,0,40,38,0
7082,24,2,403865,1,10,2,2,0,4,1,56,38,0
22268,49,2,309033,4,11,2,9,5,4,0,60,38,0
4999,44,2,175485,2,13,2,2,0,4,1,12,38,1
3713,28,2,25955,4,11,0,2,1,0,1,40,38,0
7586,36,2,137314,4,11,4,12,1,4,1,45,38,0
25502,20,2,37932,0,9,4,7,3,4,1,50,38,0
4768,63,2,275034,2,13,2,11,0,4,1,35,38,1
9340,31,2,341672,2,13,2,0,0,1,1,60,18,1
7648,73,2,29675,0,9,6,7,2,4,0,12,38,0
27829,17,2,160029,5,7,4,7,2,4,0,22,38,0
23158,33,2,121488,2,13,4,11,1,4,0,40,38,0
18581,54,2,162238,3,14,0,3,1,4,1,50,38,0
19262,24,5,154432,2,13,4,6,1,4,1,35,38,0
6523,30,2,280927,2,13,4,0,1,4,0,40,38,0
27560,50,4,124793,1,10,2,2,0,4,1,55,38,0
25528,23,2,228230,1,10,2,11,5,4,0,47,38,0
14840,69,2,159522,8,4,0,6,4,2,0,40,38,0
23633,48,2,287480,3,14,2,12,0,4,1,40,38,1
19853,36,5,323726,1,10,4,12,4,2,0,40,38,0
7754,28,2,499001,0,9,4,2,4,4,1,40,25,0
16375,59,3,146477,9,15,2,9,0,4,1,40,38,1
9937,45,1,182100,2,13,2,11,0,4,1,40,38,1
1879,23,2,194102,2,13,4,3,4,4,1,40,38,0
28317,31,1,189843,0,9,0,10,1,4,1,47,38,0
10298,28,3,219705,2,13,2,3,0,4,1,55,38,1
4191,21,2,688355,0,9,4,0,4,2,0,40,38,0
13257,21,2,91819,4,11,4,7,1,4,1,30,38,0
779,39,2,138192,2,13,2,2,0,4,1,40,38,1
10098,20,2,41432,1,10,4,0,3,4,0,46,38,0
21913,42,0,70240,1,10,0,3,4,1,0,40,38,0
4121,41,4,29762,1,10,2,4,0,4,1,70,38,0
17888,65,4,139960,0,9,2,4,0,4,1,60,38,0
11298,50,1,220640,3,14,0,9,1,0,0,50,38,0
19579,33,2,112358,1,10,4,7,1,4,1,32,38,0
24873,37,0,197284,1,10,4,0,3,4,1,40,38,0
29375,30,2,345522,0,9,2,13,0,4,1,70,38,0
26673,51,2,123053,3,14,2,9,0,1,1,40,18,1
27454,25,2,372728,2,13,4,7,1,2,0,24,22,0
8716,46,2,167882,0,9,0,12,1,4,0,43,38,0
24878,47,2,239865,0,9,2,2,0,4,1,45,38,0
1954,24,2,109307,0,9,4,11,3,4,1,45,38,0
27334,21,2,33831,0,9,4,0,4,4,0,40,38,0
9145,38,2,450924,11,8,2,7,0,4,1,40,38,0
6954,25,2,104439,1,10,4,0,1,4,0,50,38,0
15976,52,2,217663,0,9,2,11,0,4,1,45,38,0
21515,55,2,104996,8,4,2,13,0,4,1,50,38,0
4030,28,2,185061,5,7,4,5,2,4,1,40,38,0
29871,31,2,188246,6,12,0,2,1,4,1,50,38,0
12667,32,2,295282,0,9,2,2,0,4,1,48,38,0
2784,31,2,327825,0,9,5,6,4,4,0,40,38,0
7322,32,5,71151,2,13,2,12,0,4,1,20,38,1
5348,19,2,170720,11,8,4,7,3,4,1,16,38,0
4778,47,2,185385,7,6,2,6,0,4,1,40,38,0
26288,54,2,175594,0,9,2,2,0,4,1,40,38,0
22698,29,0,37933,1,10,4,0,4,2,0,40,38,0
22106,42,5,39239,3,14,4,9,1,4,1,70,38,0
12778,40,2,162098,0,9,0,0,4,4,0,30,38,0
9874,42,4,444134,0,9,2,4,0,4,1,15,38,0
1923,31,0,207301,0,9,2,0,5,4,0,40,38,0
3444,29,2,174163,1,10,0,3,1,4,0,40,38,0
23293,32,2,388672,1,10,0,5,1,4,1,16,38,0
6420,32,2,187560,9,15,2,9,0,4,1,40,38,1
20413,26,2,104834,3,14,4,9,1,4,0,40,38,0
10015,27,2,373499,13,3,4,7,1,4,1,60,7,0
23278,37,3,51264,4,11,2,11,0,4,1,40,38,0
3479,52,2,164135,0,9,2,3,0,4,1,50,38,0
28355,21,2,164991,0,9,0,11,4,0,0,38,38,0
5997,45,2,202496,2,13,2,5,0,4,1,37,38,1
28239,35,3,89622,1,10,2,11,0,4,1,50,38,0
24445,47,2,431515,4,11,2,2,0,4,1,40,38,0
12398,50,2,173754,0,9,2,2,0,4,1,40,38,0
16731,36,2,189382,0,9,2,0,5,4,0,40,38,0
22901,22,2,117363,1,10,4,0,1,4,0,35,38,0
28521,28,0,24153,7,6,2,7,5,0,0,40,38,0
10699,31,2,87560,1,10,4,6,1,4,0,50,38,0
29493,28,2,188171,6,12,4,13,3,4,1,60,38,0
9686,39,2,204501,3,14,2,3,0,4,1,50,38,1
7776,19,2,70982,4,11,4,7,3,1,1,16,38,0
21286,44,5,141858,9,15,2,9,0,4,1,75,38,1
28205,40,2,198096,0,9,2,6,0,4,1,40,38,0
23570,26,2,238367,0,9,2,0,0,4,1,40,38,0
6202,31,2,595000,0,9,4,5,2,2,0,35,38,0
7755,65,1,125768,1,10,0,0,1,4,0,28,38,0
29074,57,2,116878,14,2,2,5,0,4,1,40,21,0
450,45,1,164427,2,13,0,9,4,4,0,40,38,0
22718,21,2,113106,1,10,4,7,3,4,0,30,38,0
5294,46,2,137354,3,14,2,12,0,1,1,40,29,1
6521,56,2,160932,0,9,2,13,0,4,1,44,38,0
15067,63,2,172740,1,10,2,9,0,4,1,40,38,0
1324,38,2,27997,4,11,0,2,1,4,1,40,38,0
5553,42,2,125461,2,13,4,11,4,4,1,40,38,0
155,18,2,25828,5,7,4,5,3,4,1,16,38,0
22622,24,2,183410,1,10,4,11,3,4,0,17,38,0
25341,30,2,295010,0,9,4,0,1,4,0,40,38,0
12783,34,3,242984,2,13,4,3,1,4,1,50,38,0
13907,24,2,241857,1,10,4,0,1,2,0,35,38,0
20146,33,2,142383,6,12,4,11,1,3,1,36,38,0
20831,82,3,120408,1,10,6,11,1,4,1,20,38,0
15073,27,2,36440,2,13,4,11,1,4,0,40,38,0
7539,39,2,224531,0,9,2,2,0,4,1,40,38,0
12980,40,3,49249,2,13,2,3,0,4,1,50,38,1
19872,41,5,48997,0,9,2,13,0,2,1,40,38,0
21392,42,2,289636,0,9,2,13,0,4,1,46,38,0
28078,22,2,48988,1,10,4,13,1,4,1,40,38,0
25360,62,5,202056,2,13,0,9,1,4,1,40,38,0
7943,62,1,407669,8,4,6,7,1,2,0,35,38,0
25646,49,2,191277,1,10,2,7,0,4,1,40,38,0
13260,22,2,103277,1,10,4,0,3,4,0,20,38,0
22949,26,2,476558,8,4,4,2,1,4,1,40,25,0
20279,40,2,409922,1,10,2,9,0,4,1,40,38,0
7027,35,2,33397,0,9,0,7,1,4,0,35,38,0
11193,32,2,86808,0,9,0,0,2,4,0,40,38,0
2033,27,2,158156,0,9,4,7,1,4,0,42,38,0
21490,30,2,29235,1,10,4,0,2,4,0,20,38,0
16141,37,2,50837,3,14,2,9,0,4,1,45,38,1
20867,44,2,187720,0,9,2,2,0,4,1,41,38,0
14892,44,2,187322,2,13,0,13,1,4,1,40,38,0
14776,63,4,181561,1,10,0,3,1,4,1,50,38,0
21982,27,2,168470,2,13,4,3,1,4,1,40,38,0
9974,67,2,279980,1,10,2,13,0,4,1,10,38,0
8709,39,3,33975,0,9,2,2,0,4,1,50,38,0
20531,29,2,385092,1,10,0,9,3,4,0,36,38,0
10264,27,2,174419,2,13,4,9,1,4,0,40,38,0
17367,58,4,140729,2,13,2,4,0,4,1,35,38,1
9819,37,2,113750,2,13,2,5,0,4,1,40,38,1
2007,63,3,54052,3,14,2,11,0,4,1,68,38,1
13352,31,2,247444,4,11,2,6,0,4,1,40,3,0
277,38,2,169469,0,9,0,11,1,4,1,80,38,0
25766,19,2,268524,1,10,4,11,3,4,0,15,38,0
26061,20,2,200450,8,4,4,6,3,4,0,52,38,0
1668,49,2,188330,0,9,2,11,0,4,1,40,38,0
10713,52,0,221532,2,13,2,3,0,4,1,45,38,1
5848,29,2,225024,0,9,0,2,1,4,1,40,38,0
15485,37,2,112497,3,14,2,3,0,4,1,40,38,1
18992,34,5,216283,2,13,2,9,5,4,0,45,38,0
16939,46,2,164749,1,10,2,3,0,4,1,40,38,0
21990,44,2,152150,6,12,5,3,1,4,1,40,38,0
23786,29,2,130438,0,9,2,6,0,4,1,40,38,0
6562,47,4,107231,12,16,2,9,0,4,1,35,38,1
24140,33,2,189368,1,10,2,13,0,2,1,40,38,0
4151,63,1,147440,1,10,0,3,1,4,0,35,38,0
6930,46,1,149949,2,13,2,9,0,4,1,45,38,1
10717,47,2,33710,2,13,2,3,0,4,1,60,38,1
21722,24,2,438839,2,13,4,11,1,4,1,40,38,0
11024,55,3,258648,7,6,6,13,1,4,1,40,38,0
10893,53,4,302847,0,9,2,11,0,4,1,35,38,0
10683,57,5,290661,12,16,0,9,1,4,1,60,38,0
4465,46,2,72619,1,10,2,3,5,4,0,40,38,0
22136,22,5,201569,2,13,4,9,3,4,0,20,38,0
1172,51,1,152754,2,13,2,0,0,4,1,40,38,1
6269,35,2,28572,1,10,2,2,0,4,1,35,38,0
25787,42,2,274913,0,9,0,2,4,4,1,45,38,0
28200,42,2,284758,0,9,0,3,4,4,0,40,38,0
13188,47,0,220269,1,10,2,5,0,4,1,40,38,0
15825,45,2,183598,0,9,0,0,1,4,0,40,38,0
11174,40,5,269733,4,11,4,2,1,4,1,40,38,0
15167,30,2,79712,2,13,2,9,0,3,1,40,38,1
18542,44,2,191814,1,10,2,9,0,4,1,45,38,0
9705,39,0,129573,2,13,4,0,1,4,1,40,38,0
5161,35,1,215419,1,10,0,0,4,4,0,40,38,0
16074,49,0,195437,6,12,2,0,0,4,1,60,38,0
11753,52,2,124591,0,9,4,5,4,4,1,40,38,0
11755,50,0,221532,6,12,2,2,0,4,1,40,38,0
13379,21,2,206354,0,9,4,7,4,2,0,35,38,0
27145,25,2,229287,2,13,4,3,2,4,0,25,38,0
13655,44,2,109912,12,16,2,3,5,4,0,32,38,0
22787,43,2,236985,0,9,2,2,0,2,1,40,38,0
21845,23,2,91842,2,13,4,3,1,4,0,30,38,0
8403,26,2,256737,5,7,2,13,0,4,1,40,38,0
9118,44,2,68729,1,10,2,11,0,1,1,40,38,0
9381,27,2,196044,1,10,2,2,0,4,1,60,38,0
2044,31,2,257644,5,7,4,13,4,4,1,40,38,0
29491,31,2,160594,6,12,4,9,3,4,1,3,38,0
9999,44,4,172296,1,10,5,11,4,4,1,60,38,0
